series,series_type,automl_mae,prophet_mae,sktime_mae,winner
Seasonal+Trend,Synthetic,1.7638142806274313,1.9094141651883707,1.5665015624029195,sktime
Linear Trend,Synthetic,2.179850828964786,2.226241802675889,2.1450401735947104,sktime
Quadratic,Synthetic,1.5417979795740469,12.318050106479044,1.4379585596771374,sktime
Logistic (S-curve),Synthetic,2.501109867609156,2.8675903382259267,2.3246734758243406,sktime
Random Walk (drift),Synthetic,0.7155406389353564,1.6879872409841683,1.47956233150898,automl
Piecewise (changepoints),Synthetic,1.9215938313952052,1.9133270263288875,2.973776434395216,prophet
Spiky Intermittent,Synthetic,1.6740177059893468,1.640219924262226,1.6552686360004518,prophet
Multi-seasonal,Synthetic,1.4614552245333263,1.400259772332091,1.58247726910861,prophet
CO2,Real (statsmodels),0.2515698395607515,0.3680206361081133,0.2860975572002644,automl
CPIAUCSL,Real (FRED),0.437166150287652,1.5323170838508322,2.903951501754172,automl
UNRATE,Real (FRED),0.1159604702567497,0.2760964178185841,0.168240903239456,automl
INDPRO,Real (FRED),0.4610544577619133,0.7208009007353299,1.660224657110076,automl
Average,,1.2520776062913102,2.4050271179157887,1.6819810884846949,automl
