series,prophet_mae,prophet_mape
Seasonal+Trend,1.9094141651883707,0.0038717617614312046
Linear Trend,2.226241802675889,0.007517959213602027
Quadratic,12.318050106479044,0.00516600270032815
Logistic (S-curve),2.8675903382259267,0.02908121793243229
Random Walk (drift),1.6879872409841685,0.005269286397264455
Piecewise (changepoints),1.9133270263288875,0.01193709355451994
Spiky Intermittent,1.640219924262226,0.08561341536475947
Multi-seasonal,1.400259772332091,0.5281984973902435
CO2,0.3680206361081133,0.0009969711689147823
CPIAUCSL,1.5323170838508322,0.004832736051081635
UNRATE,0.27609641781858413,0.06669350332148433
INDPRO,0.7208009007353299,0.007172753884868548
